"";"iso2c";"country";"year";"EN.ATM.PM25.MC.M3";"EN.ATM.PM25.MC.ZS";"EG.EGY.PRIM.PP.KD";"EG.FEC.RNEW.ZS";"EG.ELC.RNEW.ZS";"EG.ELC.ACCS.ZS";"EG.CFT.ACCS.ZS";"AG.LND.FRST.ZS";"NY.GDP.TOTL.RT.ZS";"ER.LND.PTLD.ZS";"ER.PTD.TOTL.ZS";"ER.MRN.PTMR.ZS";"EG.ELC.ACCS.UR.ZS";"SH.H2O.BASW.UR.ZS";"SH.STA.BASS.UR.ZS";"EG.ELC.ACCS.RU.ZS";"SH.STA.BASS.RU.ZS";"SH.H2O.BASW.RU.ZS";"ER.H2O.INTR.PC";"SH.H2O.SMDW.ZS";"SH.STA.SMSS.ZS";"iso3c";"region";"capital";"longitude";"latitude";"income";"lending"
"1";"1A";"Arab World";1993;NA;NA;NA;6,73779348608348;5,38748187078984;NA;NA;1,71745170279595;20,5348563129538;NA;NA;NA;NA;NA;NA;56,1034345635734;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"2";"1A";"Arab World";1994;NA;NA;NA;6,9141917769377;5,32098508196058;NA;NA;1,71239272282848;18,6381609831281;NA;NA;NA;NA;NA;NA;57,3501894391545;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"3";"1A";"Arab World";1995;52,5434088963715;100;NA;6,81791104310675;5,08106281845763;NA;NA;1,70733281169286;19,3883835238642;NA;NA;NA;NA;NA;NA;57,3532976496177;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"4";"1A";"Arab World";1997;NA;NA;NA;6,84393808282191;5,17146502773086;77,2978507128035;NA;1,69721392054734;19,5551657558079;NA;NA;NA;NA;NA;NA;60,3837302317346;NA;NA;457,716016001803;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"5";"1A";"Arab World";1965;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"6";"1A";"Arab World";1966;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"7";"1A";"Arab World";1992;NA;NA;NA;6,91296591032379;5,76901813258006;NA;NA;1,7225115704725;21,1151003936705;NA;NA;NA;NA;NA;NA;54,1733046691651;NA;NA;518,701808104727;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"8";"1A";"Arab World";1969;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"9";"1A";"Arab World";1970;NA;NA;NA;NA;NA;NA;NA;NA;13,3542376889053;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
"10";"1A";"Arab World";1996;NA;NA;NA;6,80520668005432;5,3000683462729;NA;NA;1,70227379060056;22,6323706116414;NA;NA;NA;NA;NA;NA;59,5283390228201;NA;NA;NA;NA;NA;"ARB";"Aggregates";"";"";"";"Aggregates";"Aggregates"
